fileID,f1,f2,vot,notes
bi03_kaka,1016.61,1835.93,32.14,
bi03_kaka1,816.06,1506.96,35.50,
bi03_kaka2,763.36,1685.68,26.45,
bi03_keke,1036.36,2445.94,21.23,
bi03_keke1,526.85,2317.25,22.76,
bi03_keke2,613.02,2463.72,25.03,
bi03_kiki,389.80,2646.20,30.28,
bi03_kiki1,331.70,2696.40,27.09,
bi03_kiki2,342.94,2664.13,22.19,
bi03_koko,617.95,821.33,29.66,
bi03_koko1,555.19,901.47,35.86,
bi03_koko2,787.05,1139.94,43.22,
bi03_kuku,392.89,761.94,49.75,
bi03_kuku1,248.95,1690.74,35.04,
bi03_kuku2,398.37,815.67,36.11,
bi03_paka,938.93,1684.50,17.77,
bi03_paka1,762.73,1623.26,17.30,
bi03_paka2,645.25,1778.92,16.76,
bi03_peke,426.36,1800.99,19.73,
bi03_peke1,558.57,2334.01,28.21,
bi03_peke2,604.36,2403.48,28.78,
bi03_piki,351.38,2647.24,27.88,
bi03_piki1,334.43,2830.54,23.90,
bi03_piki2,1751.50,2899.83,30.71,
bi03_poko,530.93,890.88,43.81,
bi03_poko1,603.00,1680.55,34.31,
bi03_poko2,519.81,875.54,32.54,
bi03_puku,537.99,1667.21,33.39,
bi03_puku1,684.04,1417.90,42.87,
bi03_puku2,422.57,826.76,27.59,
bi03_taka,779.33,1640.31,22.33,
bi03_taka1,847.45,1639.62,36.04,
bi03_taka2,863.20,1534.43,23.55,
bi03_teke,466.87,2348.30,31.41,
bi03_teke1,449.07,2419.70,25.26,
bi03_teke2,445.50,2434.10,27.03,
bi03_tiki,347.26,2506.61,20.07,
bi03_tiki1,1007.91,2459.54,21.61,
bi03_tiki2,408.14,1931.90,36.40,
bi03_toko,714.37,880.76,25.02,
bi03_toko1,750.81,1144.05,27.08,
bi03_toko2,776.15,1030.04,21.84,
bi03_tuku,602.39,761.78,35.50,
bi03_tuku1,399.56,736.31,24.51,
bi03_tuku2,401.23,758.25,25.43,
